"show_id","type_lower","title_lower","director_lower","cast_lower","country_lower","date_added_new","release_year","rating_lower","duration","listed_in_lower","description_lower","duration_min_filter"
80169755,movie,joaquín reyes: una y no más,josé miguel contreras,joaquín reyes,"","2017-09-08",2017,tv-ma,"78 min",stand-up comedy,"comedian and celebrity impersonator joaquín reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",78.0
70299204,movie,kidnapping mr. heineken,daniel alfredson,"jim sturgess, sam worthington, ryan kwanten, anthony hopkins, mark van eeuwen, thomas cocquerel, jemima west, david dencik","netherlands, belgium, united kingdom, united states","2017-09-08",2015,r,"95 min","action & adventure, dramas, international movies","when beer magnate alfred ""freddy"" heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",95.0
80182480,movie,krish trish and baltiboy,"","damandeep singh baggan, smita malhotra, baba sehgal","","2017-09-08",2009,tv-y7,"58 min",children & family movies,"a team of minstrels, including a monkey, cat and donkey, narrate folktales from the indian regions of rajasthan, kerala and punjab.",58.0
80182483,movie,krish trish and baltiboy: battle of wits,"munjal shroff, tilak shetty","damandeep singh baggan, smita malhotra, baba sehgal, deepak chachra","","2017-09-08",2013,tv-y7,"62 min",children & family movies,"an artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",62.0
80182596,movie,krish trish and baltiboy: best friends forever,"munjal shroff, tilak shetty","damandeep singh baggan, smita malhotra, deepak chachra","","2017-09-08",2016,tv-y,"65 min",children & family movies,"a cat, monkey and donkey team up to narrate folktales about friendship from northeast india, and the indian regions of bihar and rajasthan.",65.0
80182482,movie,krish trish and baltiboy: comics of india,tilak shetty,"damandeep singh baggan, smita malhotra, baba sehgal","","2017-09-08",2012,tv-y7,"61 min",children & family movies,"in three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",61.0
80182597,movie,krish trish and baltiboy: oversmartness never pays,tilak shetty,"rishi gambhir, smita malhotra, deepak chachra","","2017-09-08",2017,tv-y7,"65 min",children & family movies,"a cat, monkey and donkey learn the consequences of cheating through stories from the indian regions of rajasthan, west bengal and maharashtra.",65.0
80182481,movie,krish trish and baltiboy: part ii,"","damandeep singh baggan, smita malhotra, baba sehgal","","2017-09-08",2010,tv-y7,"58 min",children & family movies,"animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",58.0
80182621,movie,krish trish and baltiboy: the greatest trick,"munjal shroff, tilak shetty","damandeep singh baggan, smita malhotra, baba sehgal","","2017-09-08",2013,tv-y7,"60 min",children & family movies,"the consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",60.0
80057969,movie,love,gaspar noé,"karl glusman, klara kristin, aomi muyock, ugo fox, juan saavedra, gaspar noé, isabelle nicou, benoît debie, vincent maraval, déborah révy","france, belgium","2017-09-08",2015,nr,"135 min","cult movies, dramas, independent movies",a man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,135.0
80060297,movie,manhattan romance,tom o'brien,"tom o'brien, katherine waterston, caitlin fitzgerald, gaby hoffmann, louis cancelmi, zach grenier",united states,"2017-09-08",2014,tv-14,"98 min","comedies, independent movies, romantic movies",a filmmaker working on a documentary about love in modern manhattan becomes personally entangled in the romantic lives of his subjects.,98.0
80046728,movie,moonwalkers,antoine bardou-jacquet,"ron perlman, rupert grint, robert sheehan, stephen campbell moore, eric lampaert, kevin bishop, tom audenaert, erika sainte","france, belgium","2017-09-08",2015,r,"96 min","action & adventure, comedies, international movies","a brain-addled war vet, a failing band manager and a stanley kubrick impersonator help the cia construct an epic scam by faking the 1969 moon landing.",96.0
80046727,movie,rolling papers,mitch dickman,"","united states, uruguay","2017-09-08",2015,tv-ma,"79 min",documentaries,"as the newspaper industry takes a hit, the denver post breaks new ground with a section dedicated to cannabis culture.",79.0
70304988,movie,stonehearst asylum,brad anderson,"kate beckinsale, jim sturgess, david thewlis, brendan gleeson, ben kingsley, michael caine, jason flemyng, sophie kennedy clark, sinéad cusack, edmund kingsley",united states,"2017-09-08",2014,pg-13,"113 min","horror movies, thrillers","in 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",113.0
80057700,movie,the runner,austin stark,"nicolas cage, sarah paulson, connie nielsen, wendell pierce, bryan batt, peter fonda, dana gourrier",united states,"2017-09-08",2015,r,"90 min","dramas, independent movies",a new orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,90.0
80045922,movie,"6 years",hannah fidell,"taissa farmiga, ben rosenfield, lindsay burdge, joshua leonard, jennifer lafleur, peter vack, dana wheeler-nicholson, jason newman, molly mcmichael",united states,"2015-09-08",2015,nr,"80 min","dramas, independent movies, romantic movies","as a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80.0
80244601,tv show,castle of stars,"","chaiyapol pupart, jintanutda lummakanon, worrawech danuwong, ornjira lamwilai, yong armchair, keerati mahapreukpong, akarat nimitchai, kornpassorn duaysianklao, nattapong chartpong","","2018-09-07",2015,tv-14,"1 Season","international tv shows, romantic tv shows, tv comedies","as four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",480.0
80203094,movie,city of joy,madeleine gavin,"","united states,","2018-09-07",2018,tv-ma,"77 min",documentaries,"women who've been sexually brutalized in war-torn congo begin to heal at city of joy, a center that helps them regain a sense of self and empowerment.",77.0
80190843,tv show,first and last,"","","","2018-09-07",2018,tv-ma,"1 Season",docuseries,take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at georgia's gwinnett county jail.,480.0
70241607,movie,laddaland,sopon sukdapisit,"saharat sangkapreecha, pok piyatida woramusik, sutatta udomsilp, athipich chutiwatkajornchai, deuntem salitul, sahajak boonthanakit",thailand,"2018-09-07",2011,tv-ma,"112 min","horror movies, international movies","when a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",112.0
80988892,movie,next gen,"kevin r. adams, joe ksander","john krasinski, charlyne yi, jason sudeikis, michael peña, david cross, constance wu","china, canada, united states","2018-09-07",2018,tv-pg,"106 min","children & family movies, comedies, sci-fi & fantasy","when lonely mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",106.0
80239639,movie,sierra burgess is a loser,ian samuels,"shannon purser, kristine froseth, rj cyler, noah centineo, loretta devine, giorgia whigham, alice lee, lea thompson, alan ruck, mary pat gleason, chrissy metz",united states,"2018-09-07",2018,pg-13,"106 min","comedies, romantic movies",a wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,106.0
80159586,movie,the most assassinated woman in the world,franck ribière,"anna mouglalis, niels schneider, andré wilms, michel fau, sissi duparc, jean-michel balthazar, julie recoing, eric godon, maya coline, constance dollé","belgium, united kingdom, united states","2018-09-07",2018,tv-ma,"102 min","dramas, international movies, thrillers","in 1930s paris, an actress famous for her gory death scenes at the grand guignol theater contends with a mysterious stalker and ghosts from her past.",102.0
80152447,movie,cézanne et moi,daniele thompson,"guillaume canet, guillaume gallienne, alice pol, déborah françois, sabine azéma, freya mavor, isabelle candelier, laurent stocker","belgium, france","2017-09-07",2016,r,"114 min","dramas, independent movies, international movies","this historical drama explores the long and often volatile friendship of painter paul cézanne and writer émile zola, who first met as schoolboys.",114.0
80221550,tv show,archibald's next big thing,"","tony hale, rosamund pike, jordan fisher, chelsea kane, adam pally, kari wahlgren","","2019-09-06",2019,tv-y7,"1 Season","kids' tv, tv comedies","happy-go-lucky chicken archibald may not remember to do his chores, but he never forgets to have fun. after all, life's an adventure!",480.0
81154455,movie,article 15,anubhav sinha,"ayushmann khurrana, nassar, manoj pahwa, kumud mishra, isha talwar, sayani gupta, mohammed zeeshan ayyub, subhrajyoti barat, sushil pandey, aakash dabhade",india,"2019-09-06",2019,tv-ma,"125 min","dramas, international movies, thrillers",the grim realities of caste discrimination come to light as an entitled but upright city cop ventures into india’s heartland to investigate a murder.,125.0
81113928,movie,care of kancharapalem,maha venkatesh,"subba rao vepada, radha bessy, kesava karri, nithyasri goru, karthik rathnam, praneetha patnaik, mohan bhagath, praveena paruchuri","","2019-09-06",2018,tv-14,"142 min","comedies, dramas, independent movies","from a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small indian town.",142.0
81052275,movie,ee nagaraniki emaindi,tharun bhascker,"vishwaksen naidu, sushanth reddy, abhinav gomatam, venkatesh kakumanu, anisha ambrose, simran choudhary",india,"2019-09-06",2018,tv-14,"133 min","comedies, international movies","in goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",133.0
81132437,movie,kill me if you dare,şenol sönmez,"murat boz, seda bakan, açelya topaloğlu, özgür emre yıldırım, seda güven, yosi mizrahi, dilşad şimşek, ali yoğurtçuoğlu","","2019-09-06",2019,tv-14,"100 min","comedies, international movies, romantic movies","bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",100.0
80178151,tv show,the spy,"","sacha baron cohen, noah emmerich, hadar ratzon rotem, alexander siddig, waleed zuaiter, nassim lyes",france,"2019-09-06",2019,tv-ma,"1 Season","international tv shows, tv dramas, tv thrillers","in the 1960s, israeli clerk-turned-secret agent eli cohen goes deep undercover inside syria on a perilous, years-long mission to spy for mossad.",480.0
80058026,movie,hell and back,"tom gianas, ross r. shuman","nick swardson, mila kunis, bob odenkirk, t.j. miller, rob riggle, susan sarandon, danny mcbride, jennifer coolidge, john farley, maria bamford",united states,"2018-09-06",2015,r,"86 min","action & adventure, comedies, independent movies","when best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",86.0
70303496,movie,pk,rajkumar hirani,"aamir khan, anuskha sharma, sanjay dutt, saurabh shukla, parikshat sahni, sushant singh rajput, boman irani, rukhsar",india,"2018-09-06",2014,tv-14,"146 min","comedies, dramas, international movies",aamir khan teams with director rajkumar hirani to play a social crusader in a political satire on the state of corruption in india.,146.0
80162141,movie,hard tide,"robert osman, nathanael wiseman","nathanael wiseman, mem ferda, alexandra newick, oliver stark, kat gellin, andy lucas, ralph brown, beverly hills",united kingdom,"2017-09-06",2015,tv-ma,"79 min","dramas, independent movies",a drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,79.0
80095641,movie,elstree 1976,jon spira,"paul blake, jeremy bulloch, john chapman, anthony forrest, laurie goode, garrick hagon, derek lyons, angus macinnes, david prowse, pam rose",united kingdom,"2016-09-06",2015,tv-pg,"102 min",documentaries,"then and now footage of bit players who appeared in ""star wars"" tells the story of how the film and its legions of fans changed their lives forever.",102.0
81176188,movie,american factory: a conversation with the obamas,"","president barack obama, michelle obama, julia reichert, steven bognar","","2019-09-05",2019,tv-g,"10 min",documentaries,barack and michelle obama talk with directors steven bognar and julia reichert about the documentary and the importance of storytelling.,10.0
80159880,movie,atm,mez tharatorn,"chantavit dhanasevi, preechaya pongthananikorn, chaleumpol tikumpornteerawong, thawat pornrattanaprasert, sananthachat thanapatpisal, pongkool suebsung, puttachat pongsuchat, gornpop janjaroen, yanee tramoth, pongsatorn jongwilak","united states, canada","2018-09-05",2012,tv-14,"122 min","comedies, international movies, romantic movies","when a broken atm dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",122.0
81016044,movie,bangkok traffic (love) story,adisorn tresirikasem,"theeradej wongpuapan, sirin horwang, ungsumalynn sirapatsakmetha, panissara phimpru, taksaorn paksukcharern, charlie trairat, kazuki yano",thailand,"2018-09-05",2009,tv-14,"126 min","comedies, international movies, romantic movies","after an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",126.0
80158838,movie,i fine... thank you... love you,mez tharatorn,"preechaya pongthananikorn, sunny suwanmethanont, sora aoi, puttachat pongsuchat, popetorn soonthornyanakij",thailand,"2018-09-05",2014,tv-14,"116 min","comedies, international movies, romantic movies","desperate to go to the u.s. to win back his girlfriend, yim hires a tutor to teach him english. but things don't go according to plan.",116.0
81016045,movie,one day,banjong pisanthanakun,"chantavit dhanasevi, nittha jirayungyurn, theerapat sajakul, prim bulakul, kris srepoomseth, somyos matures, sutthatip wutichaipradit, rermthon kemapech, kaz sawamura",thailand,"2018-09-05",2016,tv-pg,"135 min","dramas, international movies, romantic movies","when his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",135.0
70142798,movie,phobia 2,"banjong pisanthanakun, paween purikitpanya, songyos sugmakanan, parkpoom wongpoom, visute poolvoralaks","jirayu la-ongmanee, charlie trairat, worrawech danuwong, marsha wattanapanich, nicole theriault, chumphorn thepphithak, gacha plienwithi, suteerush channukool, peeratchai roompol, nattapong chartpong",thailand,"2018-09-05",2009,tv-ma,"125 min","horror movies, international movies","from disfiguring punishments to festering souls, thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",125.0
70062814,movie,shutter,"banjong pisanthanakun, parkpoom wongpoom","ananda everingham, natthaweeranuch thongmee, achita sikamana, unnop chanpaibool, titikarn tongprasearth, sivagorn muttamara, chachchaya chalemphol, kachormsak naruepatr",thailand,"2018-09-05",2004,tv-ma,"96 min","horror movies, international movies","after killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",96.0
80158839,movie,suckseed,chayanop boonprakob,"jirayu la-ongmanee, pachara chirathivat, nattasha nauljam, thawat pornrattanaprasert",thailand,"2018-09-05",2011,tv-ma,"130 min","comedies, international movies","when his boyhood crush ern returns, ped forms a band with his friend to impress her. romantic rivalries bloom after the talented ern joins the group.",130.0
80147760,movie,carrie pilby,susan johnson,"bel powley, nathan lane, vanessa bayer, gabriel byrne, jason ritter, colin o'donoghue, william moseley, desmin borges",united states,"2017-09-05",2016,tv-14,"98 min","comedies, dramas","a socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",98.0
80177405,movie,marc maron: too real,lynn shelton,marc maron,united states,"2017-09-05",2017,tv-ma,"70 min",stand-up comedy,"battle-scarred stand-up comedian marc maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",70.0
80113482,tv show,no tomorrow,"","joshua sasse, tori anderson, jonathan langdon, sarayu blue, jesse rath, amy pietz",united states,"2017-09-05",2016,tv-14,"1 Season","romantic tv shows, tv comedies, tv dramas","her straitjacketed life turned topsy-turvy by hunky xavier, evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",480.0
81160036,movie,saawan,farhan alam,"karam hussain, arif bahlim, najiba faiz, saleem mairaj, imran aslam, daniyal yousuf, sohail malik, ali hafiz",pakistan,"2019-09-04",2016,tv-14,"128 min","dramas, independent movies, international movies","outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. based on a true story.",128.0
81173255,movie,the heretics,chad archibald,"nina kiri, ry barrett, jorja cadence, will king, nina richmond",canada,"2019-09-04",2017,tv-ma,"88 min",horror movies,a withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,88.0
81078908,movie,the world we make,brian baugh,"caleb castille, rose reid, kevin sizemore, gregory alan williams",united states,"2019-09-04",2019,pg,"108 min","dramas, romantic movies","a teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",108.0
81155784,movie,watchman,a. l. vijay,"g.v. prakash kumar, samyuktha hegde, suman, raj arjun, yogi babu, munishkanth",india,"2019-09-04",2019,tv-14,"93 min","comedies, dramas, international movies","rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",93.0
80201906,movie,black panther,ryan coogler,"chadwick boseman, michael b. jordan, lupita nyong'o, danai gurira, martin freeman, daniel kaluuya, letitia wright, winston duke, sterling k. brown, angela bassett, forest whitaker, andy serkis, florence kasumba, john kani, david s. lee, stan lee",united states,"2018-09-04",2018,pg-13,"135 min","action & adventure, sci-fi & fantasy","t'challa, the superpowered new leader of the hidden, highly advanced african nation of wakanda, strives to protect his home from enemies old and new.",135.0
80052612,movie,man up,ben palmer,"lake bell, simon pegg, ophelia lovibond, olivia williams, rory kinnear, henry lloyd-hughes, ken stott, sharon horgan, harriet walter, stephen campbell moore, dean-charles chapman, phoebe waller-bridge","united kingdom, france","2018-09-04",2015,r,"88 min","comedies, international movies, romantic movies","a single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",88.0
80113641,tv show,frequency,"","peyton list, riley smith, mekhi phifer, devin kelley, lenny jacobson, daniel bonjour, anthony ruivivar",united states,"2017-09-04",2016,tv-14,"1 Season","crime tv shows, tv dramas, tv mysteries","a detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",480.0
81054495,movie,mo gilligan: momentum,chris howe,mo gilligan,united kingdom,"2019-09-30",2019,tv-ma,"64 min",stand-up comedy,"comedian mo gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",64.0
80996949,tv show,adam ruins everything,"","adam conover, adam lustick, emily axford",united states,"2018-09-30",2018,tv-14,"1 Season",tv comedies,"education can be fun – and funny. comedian adam conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",480.0
80239337,tv show,ben 10,"","tara strong, montse hernandez, david kaye, roger craig smith, todd haberkorn, dwight schultz, daryl sabara",united states,"2018-09-30",2016,tv-y7,"1 Season",kids' tv,ben can transform into ten types of aliens. he'll try 'em all while adventuring across the country with his cousin gwen and grandpa max.,480.0
70212504,movie,big miracle,ken kwapis,"drew barrymore, john krasinski, kristen bell, dermot mulroney, tim blake nelson, vinessa shaw, ted danson, stephen root, rob riggle, michael gaston","united states, united kingdom","2018-09-30",2012,pg,"107 min","children & family movies, dramas","after a reporter writes about whales trapped in the arctic circle, the u.s. and u.s.s.r. team up to rescue them in this tale inspired by true events.",107.0
81011682,tv show,christiane amanpour: sex & love around the world,"","",united states,"2018-09-30",2018,tv-ma,"1 Season",docuseries,"a contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. cnn's christiane amanpour reports.",480.0
80128317,tv show,the eighties,"","",united states,"2018-09-30",2016,tv-pg,"1 Season",docuseries,"this nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",480.0
81027384,tv show,the nineties,"","",united states,"2018-09-30",2017,tv-14,"1 Season",docuseries,this u.s.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. executive produced by tom hanks.,480.0
80030186,tv show,the seventies,"","",united states,"2018-09-30",2015,tv-pg,"1 Season",docuseries,"this series examines 1970s america, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",480.0
80116921,tv show,we bare bears,"","eric edelstein, demetri martin, bobby moynihan",united states,"2018-09-30",2017,tv-y7,"1 Season","kids' tv, tv comedies","grizzly, panda and ice bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",480.0
80187061,movie,the mayor,park in-je,"min-sik choi, do-won kwak, eun-kyung shim, so-ri moon, mi-ran ra, hye-young ryu, ki hong lee, sun-gyu jin, joo-yeon lee, byeong-eun park",south korea,"2017-09-30",2017,tv-ma,"130 min","dramas, international movies","with the presidency in mind, the incumbent mayor of seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",130.0
80181555,tv show,the royal house of windsor,"","",united kingdom,"2017-09-30",2017,tv-14,"1 Season","british tv shows, docuseries, international tv shows","drawing on newly available info, this show traces how the british royal family has survived the last 100 years of power struggles, politics and more.",480.0
80081155,movie,amanda knox,"rod blackhurst, brian mcginn","","denmark, united states","2016-09-30",2016,tv-ma,"92 min",documentaries,she was twice convicted and acquitted of murder. amanda knox and the people closest to her case speak out in this illuminating documentary.,92.0
80184358,tv show,lovesick,"","kongyingyong chonlathorn, phumphothingam nawat, luangsodsai anupart, nuchanart veerakaarn, chindavanich primrose, charnmanoon pannin, nungira hanwutinanon, ausavaterakul ausavapat, sirikiet saejea, nontapan chuenwarin","","2018-09-03",2014,tv-14,"1 Season","international tv shows, romantic tv shows, tv dramas",love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,480.0
80198585,movie,the debt collector,jesse v. johnson,"scott adkins, louis mandylor, vladimir kulich, michael paré, rachel brann, selina lo, tony todd","united kingdom, united states","2018-09-03",2018,tv-ma,"96 min",action & adventure,"a broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",96.0
70233894,movie,act of vengeance,mahsun kırmızıgül,"haluk bilginer, mahsun kırmızıgül, mustafa sandal, gina gershon, robert patrick, danny glover, engin altan düzyatan, scott william winters, sharrieff pugh","turkey, united states","2018-09-29",2010,nr,"112 min","action & adventure, international movies","two turkish agents are sent to new york city on a mission to capture a notorious terrorist known only as ""dejjal"" (arabic for antichrist).",112.0
81011955,movie,paradise lost,monique gardenberg,"júlio andrade, lee taylor, hermila guedes, julia konrad, erasmo carlos, marjorie estiano, seu jorge, jaloo, felipe abib, humberto carrão, malu galli",brazil,"2018-09-29",2018,tv-ma,"111 min","dramas, independent movies, international movies","a cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",111.0
80128722,movie,gerald's game,mike flanagan,"carla gugino, bruce greenwood, henry thomas, carel struycken, chiara aurelia",united states,"2017-09-29",2017,tv-ma,"103 min","horror movies, thrillers","when her husband's sex game goes wrong, jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",103.0
80182115,movie,long shot,jacob lamendola,"",united states,"2017-09-29",2017,tv-14,"40 min",documentaries,"when juan catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular tv show. a documentary.",40.0
80163293,tv show,mak cun,"","erma fatima, rahim razali, umie aida, nora danish","","2017-09-29",2015,tv-pg,"1 Season","international tv shows, tv comedies, tv dramas",a woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,480.0
80104068,movie,our souls at night,ritesh batra,"robert redford, jane fonda, bruce dern, matthias schoenaerts, iain armitage, judy greer, phyllis somerville",united states,"2017-09-29",2017,tv-14,"103 min","dramas, romantic movies","after widowed neighbors addie and louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",103.0
80119349,movie,out of thin air,dylan howitt,"","","2017-09-29",2017,tv-14,"85 min","documentaries, international movies","picking up 40 years after six were convicted for two strange murders in iceland, this chilling documentary proves confessions can’t always be trusted.",85.0
80199032,tv show,paul hollywood's big continental road trip,"",paul hollywood,united kingdom,"2017-09-29",2017,tv-14,"1 Season","british tv shows, docuseries, international tv shows","gear up for a fast-paced journey as celebrity chef and avid auto enthusiast paul hollywood takes in the cars and culture of france, italy and germany.",480.0
80180449,tv show,satu hari,"","sara ali, remy ishak, rita rudaini, mirza salihovic, hafizul kamal, miller khan","","2017-09-29",2014,tv-14,"1 Season","international tv shows, tv dramas","a man haunted by his wife's affair moves to sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",480.0
80019931,movie,"monster high: boo york, boo york",william lau,"karen strassman, celeste henderson, wendee lee, tj smith, america young, rachel staman, laura bailey",united states,"2015-09-29",2015,tv-y7,"72 min","children & family movies, music & musicals",cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. but the sinister nefera has other plans.,72.0
81053893,movie,cultivating the seas: history and future of the full-cycle cultured kindai tuna,mana yasuda,"","","2019-09-28",2019,tv-g,"45 min","documentaries, international movies",an in-depth look at the full-cycle breeding program for bluefin kindai tuna pioneered by kinki university’s aqua culture research institute.,45.0
80200087,movie,domino,brian de palma,"nikolaj coster-waldau, carice van houten, eriq ebouaney, guy pearce, mohammed azaay, søren malling, paprika steen, helena kaittani","denmark, france, italy, belgium, netherlands","2019-09-28",2019,r,"89 min","international movies, thrillers","a copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",89.0
81053892,movie,tuna girl,mana yasuda,"fuka koshiba, tom fujita, hidetoshi hoshida, hiroto kanai, ryosuke yusa, shuri tanaka, chal inoue, takashi taniguchi, takeshi masu","","2019-09-28",2019,tv-pg,"90 min","dramas, international movies",a clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. the work isn't easy.,90.0
